sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
104,207,-0.6203613,-0.16479492,0.77124023,987.603,974.16797,5.145038,0.0769043,-0.23486328,0.97924805,1000.16797,997.145,994.8397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,208,-0.64819336,-0.15478516,0.77124023,987.6641,974.0916,5.1755724,0.099853516,-0.17382812,0.94091797,1000.0916,997.145,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,210,-0.70654297,-0.087646484,0.7089844,987.7099,974.1374,5.19084,0.08203125,-0.2529297,0.9851074,1000.12213,997.12976,994.7176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,213,-0.6582031,-0.15136719,0.74487305,987.6794,974.229,5.2671757,0.09082031,-0.24584961,0.9885254,1000.07635,997.0687,994.7176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,215,-0.64990234,-0.11694336,0.72314453,987.69464,974.30536,5.2671757,0.14892578,-0.2199707,0.9929199,1000.0611,997.05347,994.73285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,217,-0.65625,-0.1171875,0.7531738,987.6641,974.2901,5.3587785,0.13256836,-0.2331543,1.0270996,999.98474,997.0229,994.76337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,218,-0.6623535,-0.092285156,0.7319336,987.6641,974.16797,5.389313,0.10107422,-0.21289062,0.9736328,999.98474,997.03815,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,220,-0.70410156,-0.16259766,0.7043457,987.6794,974.1985,5.480916,0.06689453,-0.22998047,0.96191406,999.98474,996.9924,994.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,222,-0.64624023,-0.1574707,0.7026367,987.6641,974.3359,5.5419846,0.080566406,-0.22753906,0.95410156,999.98474,996.8855,994.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,224,-0.72265625,-0.17089844,0.74560547,987.7099,974.3206,5.389313,0.06591797,-0.2668457,0.95874023,999.93896,996.96185,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,226,-0.6599121,-0.14672852,0.7414551,987.771,974.2901,5.328244,0.0637207,-0.15063477,0.9609375,1000.0,996.9924,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,228,-0.6520996,-0.10546875,0.7512207,987.7252,974.24426,5.374046,0.06518555,-0.25439453,0.9519043,999.9695,996.9771,994.73285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,230,-0.63305664,-0.119384766,0.76416016,987.6336,974.2901,5.328244,0.10229492,-0.18774414,0.9423828,999.84735,997.0076,994.76337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,232,-0.6599121,-0.1418457,0.77075195,987.58777,974.21375,5.2671757,0.08935547,-0.21484375,0.96069336,999.8626,996.916,994.67175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,234,-0.63012695,-0.1237793,0.75561523,987.61835,974.1832,5.2671757,0.08251953,-0.19165039,0.98779297,999.87787,996.87024,994.5649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
